"BILL OF MATERIAL FROM TEST_WIDERSTAENDE_AUS_RCL.SCH, 29 PARTS, GROUPED BY VALUES, AS OF 05.10.2010 16:00:00"
"Part","Value","Device","Package","Description","Description2","Qty","Place_YES/NO","Povided_by_customer_YES/NO","Distributor","Ordernumber","Weblink","Remarks_customer","Unit_price","Total_price","REMARKS_BETA","OPTION1","OPTION2","OPTION3",
"C1, C2, C8, C20, C23, C40, C41, C42, C43","10uF","C-EUC0805","C0805","CAPACITOR, European symbol","Capacitor, 0805, 10uF, 16V","9"," "," ","Beta","6911161P","http://uk.rs-online.com/web/search/searchBrowseAction.html?method=searchProducts&searchTerm=6911161P&x=0&y=0"," "," "," "," "," "," "," "
"C3, C9","4700pF","C-EUC0603","C0603","CAPACITOR, European symbol"," ","2"," "," "," "," "," "," "," "," "," "," "," "," "
"C4, C5","330uF","CPOL-EUC/6032-28R","C/6032-28R","POLARIZED CAPACITOR, European symbol"," ","2"," "," "," "," "," "," "," "," "," "," "," "," "
"C6, C7, C48","47uF","C-EUC1210","C1210","CAPACITOR, European symbol"," ","3"," "," "," "," "," "," "," "," "," "," "," "," "
"C10, C11, C12, C28, C29, C31, C32, C34, C35, C37, C38","0.47uF","C-EUC0603","C0603","CAPACITOR, European symbol"," ","11"," "," "," "," "," "," "," "," "," "," "," "," "
"C13","220pF","C-EUC0603","C0603","CAPACITOR, European symbol"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"C14","1500pF","C-EUC0603","C0603","CAPACITOR, European symbol"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"C15","27pF","C-EUC0603","C0603","CAPACITOR, European symbol"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"C16, C17, C18, C19, C21, C26, C39, C44, C45, C46, C47","0.1uF","C-EUC0603","C0603","CAPACITOR, European symbol"," ","11"," "," "," "," "," "," "," "," "," "," "," "," "
"C22, C24, C25"," ","C-US050-035X075","C050-035X075","CAPACITOR, American symbol"," ","3"," "," "," "," "," "," "," "," "," "," "," "," "
"C27, C30, C33, C36","2.2uF","C-EUC0603","C0603","CAPACITOR, European symbol"," ","4"," "," "," "," "," "," "," "," "," "," "," "," "
"D1"," ","POWER-DIODE_PDS835L","POWER-DIODE_PDS835L"," ","Description2","1","Place_YES/NO","Povided_by_customer_YES/NO","Distributor","Ordernumber","Weblink","Remarks_customer","Unit_price","Total_price","REMARKS_BETA","OPTION1","OPTION2","OPTION3"
"DRV"," ","VLN5050","SOT-223"," ","Description2","1","Place_YES/NO","Povided_by_customer_YES/NO","Distributor","Ordernumber","Weblink","Remarks_customer","Unit_price","Total_price","REMARKS_BETA","OPTION1","OPTION2","OPTION3"
"J1","MOLEX-MINI-FIT-JR-2POS-RA","MOLEX-MINI-FIT-JR-2POS-RA","MOLEX-MINI-FIT-JR-2POS-RA"," "," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"J2","USB MICRO-B","USB_MICROAMPHENOL_10118193-0001LFMICRO-B","USB-MICROB_SMD"," "," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"JP1, JP10, JP14","0.1" 6POS","M06SIP","1X06","Header 6"," ","3"," "," "," "," "," "," "," "," "," "," "," "," "
"JP2","0.1" 2POS","MICROBUILDER_HEADER-1X2ROUND","MICROBUILDER_1X02_ROUND","PIN HEADER"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"JP3, JP4, JP5, JP6, JP8","0.1" 3POS","M03PTH","1X03","Header 3"," ","5"," "," "," "," "," "," "," "," "," "," "," "," "
"JP7, JP9, JP11, JP12, JP13","0.15" 2POS","M02PTH2","1X02_BIG","Header 2"," ","5"," "," "," "," "," "," "," "," "," "," "," "," "
"L1",".82uH",".82UH_INDUCTOR-IHLP3232DZERR82M01",".82UH_INDUCTOR-IHLP3232DZERR82M01"," "," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"LDO","LDO","LDO","SOT-223"," "," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"LED1, LED4","ORANGE","MICROBUILDER_LED0603","MICROBUILDER_CHIPLED_0603","LED"," ","2"," "," "," "," "," "," "," "," "," "," "," "," "
"LED2, LED5","GREEN","MICROBUILDER_LED0603","MICROBUILDER_CHIPLED_0603","LED"," ","2"," "," "," "," "," "," "," "," "," "," "," "," "
"LED3","RED","MICROBUILDER_LED0603","MICROBUILDER_CHIPLED_0603","LED"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"LED6, LED7, LED8, LED9","YELLOW","MICROBUILDER_LED0603","MICROBUILDER_CHIPLED_0603","LED"," ","4"," "," "," "," "," "," "," "," "," "," "," "," "
"PICKIT3","0.1" 5POS","M05PTH","1X05","Header 5"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"PWR","LUMBERG-1613-14"","LUMBERG-1613-14"","LUMBERG-1613_14"," "," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"Q1","CSD16340Q3","CSD16340Q3","CSDXXXXQ3"," "," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"Q2","CSD25401Q3","CSD25401Q3","CSDXXXXQ3"," "," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"Q3","STP27N3LH5","TPAD_IRF520N","TPAD_TO220"," "," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"R1, R2, R3, R16, R17, R28","330","R-EU_R0603","R0603","RESISTOR, European symbol","RESISTOR, 0.1W, 1%","6"," "," ","Beta","6979202","http://uk.rs-online.com/web/search/searchBrowseAction.html?method=getProduct&R=6979202"," "," "," "," "," "," "," "
"R4","1K","R-EU_R0805","R0805","RESISTOR, European symbol","RESISTOR, 0.125W, 1%","1"," "," ","Beta","6980075","http://uk.rs-online.com/web/search/searchBrowseAction.html?method=getProduct&R=6980075"," "," "," "," "," "," "," "
"R5","10k","R-EU_R0805","R0805","RESISTOR, European symbol","RESISTOR, 0.125W, 1%","1"," "," ","Beta","6980154","http://uk.rs-online.com/web/search/searchBrowseAction.html?method=getProduct&R=6980154"," "," "," "," "," "," "," "
"R6, R11, R18, R27","10K","R-EU_R0603","R0603","RESISTOR, European symbol","RESISTOR, 0.1W, 1%","4"," "," ","Beta","6979325","http://uk.rs-online.com/web/search/searchBrowseAction.html?method=getProduct&R=6979325"," "," "," "," "," "," "," "
"R7","1K","R-EU_R0603","R0603","RESISTOR, European symbol","RESISTOR, 0.1W, 1%","1"," "," ","Beta","6979246","http://uk.rs-online.com/web/search/searchBrowseAction.html?method=getProduct&R=6979246"," "," "," "," "," "," "," "
"R8, R9","4.7","R-EU_R0603","R0603","RESISTOR, European symbol"," ","2"," "," "," "," "," "," "," "," "," "," "," "," "
"R10","100K","R-EU_R0603","R0603","RESISTOR, European symbol","RESISTOR, 0.1W, 1%","1"," "," ","Beta","697-9438","http://de.rs-online.com/web/p/products/6979438/?searchTerm=697-9438&relevancy-data=636F3D3126696E3D4931384E525353746F636B4E756D6265724D504E266C753D656E266D6D3D6D61746368616C6C26706D3D5E5C647B337D5B5C732D2F255C2E5D5C647B332C347D2426706F3D313426736E3D592673743D52535F53544F434B5F4E554D424552267573743D3639372D393433382677633D4E4F4E4526"," "," "," "," "," "," "," "
"R12","19.1K","R-EU_R0603","R0603","RESISTOR, European symbol"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"R13","17.8K","R-EU_R0603","R0603","RESISTOR, European symbol"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"R14","63.4K","R-EU_R0603","R0603","RESISTOR, European symbol"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"R15","22","R-EU_R0603","R0603","RESISTOR, European symbol","RESISTOR, 0.1W, 1%","1"," "," ","Beta","6979113","http://uk.rs-online.com/web/search/searchBrowseAction.html?method=getProduct&R=6979113"," "," "," "," "," "," "," "
"R19, R20, R21, R22, R23, R24, R25, R26","1.5k","R-EU_R0603","R0603","RESISTOR, European symbol","RESISTOR, 0.1W, 1%","8"," "," ","Beta","6979261","http://uk.rs-online.com/web/search/searchBrowseAction.html?method=getProduct&R=6979261"," "," "," "," "," "," "," "
"SW1","SLIDE_SWITCH-JS202011CQN","SLIDE_SWITCH-JS202011CQN","SLIDE_SWITCH-JS202011CQN"," "," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"U$1","USB A","USBSOCKET-THT","USB-A_SOCKET-THT"," "," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"U$4","TRANSFORMER","TRANSFORMER","TRANSFORMER"," "," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"U1","MCP73833-AMI/UN","MICROBUILDER_MCP73833","MICROBUILDER_MSOP10","Lithium-Polymer/Lithium-Ion Battery Charger [Part No.]"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"U3"," ","TPS43000","TSSOP16"," ","Description2","1","Place_YES/NO","Povided_by_customer_YES/NO","Distributor","Ordernumber","Weblink","Remarks_customer","Unit_price","Total_price","REMARKS_BETA","OPTION1","OPTION2","OPTION3"
"U4","PIC24FJ256GB206","PIC24FXXXDAX06","PIC24FXXX_TQFP64","PIC24FXXXDAX06"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"U5","MICROCHIP-MINI-DRIVER-MCP1416T-E/OT","MICROCHIP-MINI-DRIVER-MCP1416T-E/OT","MICROCHIP-MINI-DRIVER-MCP1416T-E/OT"," "," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"U6, U7, U8, U9"," ","LM48100Q","LM48100"," ","Description2","4","Place_YES/NO","Povided_by_customer_YES/NO","Distributor","Ordernumber","Weblink","Remarks_customer","Unit_price","Total_price","REMARKS_BETA","OPTION1","OPTION2","OPTION3"
